title,url,date,date_parsed,event_type,score,reasons
On Behalf of PM Bennett NSC Director Eyal Hulata Visited Jordan,https://www.gov.il/en/pages/spoke_jordan200622,2022-06-20,2022-06-20,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Remarks at the Start of the Weekly Cabinet Meeting,https://www.gov.il/en/pages/spoke_start190622,2022-06-19,2022-06-19,no_netanyahu,-100,no Netanyahu mention
PM Bennett Congratulates Maj.-Gen. (res.) Doron Almog on being Elected Chairman of the Jewish Agency,https://www.gov.il/en/pages/spoke_almog160622,2022-06-16,2022-06-16,no_netanyahu,-100,no Netanyahu mention
PM Bennett Meets with EU Commission President Ursula von der Leyen,https://www.gov.il/en/pages/event_europe140622,2022-06-14,2022-06-14,no_netanyahu,-100,no Netanyahu mention
PM Naftali Bennett Meets with Italian Prime Minister Mario Draghi,https://www.gov.il/en/pages/event_italy140622,2022-06-14,2022-06-14,no_netanyahu,-100,no Netanyahu mention
PM Bennett to Host US President Joe Biden in Israel on 13-14 July 2022,https://www.gov.il/en/pages/spoke_biden140622,2022-06-14,2022-06-14,no_netanyahu,-100,no Netanyahu mention
National Security Council (NSC) Headquarters - Counter-Terrorism Bureau: Travel Warning for Istanbul Raised to Level 4 – the Highest Level,https://www.gov.il/en/pages/spoke_istanbul130622,2022-06-13,2022-06-13,no_netanyahu,-100,no Netanyahu mention
PM Bennett's remarks at the start of the weekly Cabinet meeting,https://www.gov.il/en/pages/spoke_start120622,2022-06-12,2022-06-12,no_netanyahu,-100,no Netanyahu mention
Prime Minister Naftali Bennett Travels to Abu Dhabi to Meet with UAE President Sheikh Mohammed Bin Zayed,https://www.gov.il/en/pages/event_abu_dhabi090622,2022-06-09,2022-06-09,no_netanyahu,-100,no Netanyahu mention
PM Bennett Comments on IAEA Board of Governors Decision regarding Iran,https://www.gov.il/en/pages/spoke_iaea080622,2022-06-08,2022-06-08,no_netanyahu,-100,no Netanyahu mention
PM Bennett and Finance Minister Liberman Cancel 87 Exceptions from the International Standardization for 45 Israeli Standards,https://www.gov.il/en/pages/spoke_joint_statement080622,2022-06-08,2022-06-08,no_netanyahu,-100,no Netanyahu mention
PM Bennett and Health Minister Horowitz Hold Consultation with Professionals on Increase in Morbidity Data,https://www.gov.il/en/pages/spoke_corona080622,2022-06-08,2022-06-08,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Remarks to the Knesset Foreign Affairs and Defense Committee,https://www.gov.il/en/pages/spoke_foreignaffairs070622,2022-06-07,2022-06-07,no_netanyahu,-100,no Netanyahu mention
"PM Naftali Bennett's Spokesperson, Matan Sidi, to Step Down; will be replaced by Yotam Ben-Yitzhak",https://www.gov.il/en/pages/spoke_spokesman060622,2022-06-06,2022-06-06,no_netanyahu,-100,no Netanyahu mention
PM Bennett Meets with IAEA Director General Dr. Rafael Grossi in a Snap Visit held in Israel,https://www.gov.il/en/pages/event_energy030622,2022-06-03,2022-06-03,no_netanyahu,-100,no Netanyahu mention
PM Naftali Bennett Visits Rafael and Inspects the New 'Iron Beam' Laser System and other Security Developments,https://www.gov.il/en/pages/event_rafael010622,2022-06-01,2022-06-01,no_netanyahu,-100,no Netanyahu mention
PM Bennett Hosts Meeting of the Traditional Tanakh Circle at Ben-Gurion House in Tel Aviv,https://www.gov.il/en/pages/event_bible310522,2022-05-31,2022-05-31,no_netanyahu,-100,no Netanyahu mention
On Backdrop of IAEA Report PM Naftali Bennett Refers to Iranian Foreign Minister's Remarks in Davos Last Week,https://www.gov.il/en/pages/spoke_iran310522,2022-05-31,2022-05-31,no_netanyahu,-100,no Netanyahu mention
"PM Bennett Speaks with the Public Security Minister, Israel Police Inspector General and Jerusalem District Police Commander and Thanks them for the Successful Flag Parade",https://www.gov.il/en/pages/spoke_jerusalem300522,2022-05-30,2022-05-30,no_netanyahu,-100,no Netanyahu mention
Prime Minister Naftali Bennett Meets with Georgian Prime Minister Irakli Garibashvili,https://www.gov.il/en/pages/event_georgia300522,2022-05-30,2022-05-30,no_netanyahu,-100,no Netanyahu mention
"Prime Minister Naftali Bennett Appoints Eden Bizman as Chief-of-Staff of the Prime Minister's Bureau Prime Minister Naftali Bennett, today (Monday, 30 May 2022), announced the appointment of attorney Eden Bizman as Chief-of-Staff of the Prime Minister's",https://www.gov.il/en/pages/spoke_chief_of_staff300522,2022-05-30,2022-05-30,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Remarks at the Start of the Festive Cabinet Meeting in Honor of Jerusalem Day,https://www.gov.il/en/pages/spoke_start290522,2022-05-29,2022-05-29,no_netanyahu,-100,no Netanyahu mention
Excerpt from PM Bennett's Speech at the State Ceremony for Ethiopian Jews who Perished on their Way to Israel,https://www.gov.il/en/pages/event_memorial290522,2022-05-29,2022-05-29,no_netanyahu,-100,no Netanyahu mention
Statement by Prime Minister Naftali Bennett's Office,https://www.gov.il/en/pages/spoke_police290522,2022-05-29,2022-05-29,no_netanyahu,-100,no Netanyahu mention
PM Bennett Receives Operational Update ahead of Jerusalem Day and the Flag Parade,https://www.gov.il/en/pages/spoke_jerusalem270522,2022-05-27,2022-05-27,no_netanyahu,-100,no Netanyahu mention
PM Bennett Comments on Iran's Systematic Deception of the IAEA,https://www.gov.il/en/pages/spoke_iran250522,2022-05-25,2022-05-25,no_netanyahu,-100,no Netanyahu mention
PM Bennett‘s Remarks on the US Decision to keep the Islamic Revolutionary Guard Corps on the Foreign Terror Organization List,https://www.gov.il/en/pages/spoke_iran240522,2022-05-24,2022-05-24,no_netanyahu,-100,no Netanyahu mention
PM Bennett Meets with European Parliament President Roberta Metsola,https://www.gov.il/en/pages/event_metsola240522,2022-05-24,2022-05-24,no_netanyahu,-100,no Netanyahu mention
PM Bennett Updated on Counter-Terrorism Efforts,https://www.gov.il/en/pages/spoke_terrorism240522,2022-05-24,2022-05-24,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Remarks at the Start of the Weekly Cabinet Meeting,https://www.gov.il/en/pages/spoke_start220522,2022-05-22,2022-05-22,no_netanyahu,-100,no Netanyahu mention
PM Bennett Speaks with Austrian Chancellor Karl Nehammer,https://www.gov.il/en/pages/spoke_austria180522,2022-05-18,2022-05-18,no_netanyahu,-100,no Netanyahu mention
PM Naftali Bennett's Lag B'Omer Statement,https://www.gov.il/en/pages/spoke_omer180522,2022-05-18,2022-05-18,no_netanyahu,-100,no Netanyahu mention
PM Bennett Speaks with French President Emmanuel Macron,https://www.gov.il/en/pages/spoke_macron170522,2022-05-17,2022-05-17,no_netanyahu,-100,no Netanyahu mention
PM Bennett Visits the Elkana Local Council on the 45th Anniversary of its Founding,https://www.gov.il/en/pages/event_elkana170522,2022-05-17,2022-05-17,no_netanyahu,-100,no Netanyahu mention
