date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file
2021-12-26 15:00,1640559600,Toronto Raptors @ Cleveland Cavaliers,Cleveland Cavaliers,Toronto Raptors,NBA Regular Season,Bally Sports Ohio,725,https://basketball.icdb.tv/match/725,John Michael,Austin Carr,"Austin Carr, Amy Audibert",,,,"John Michael (Main Commentator), Austin Carr (Co-commentator), Matt Devlin (Main Commentator), Amy Audibert (Co-commentator)",,,
2021-12-22 16:30,1640219400,Cleveland Cavaliers @ Boston Celtics,Boston Celtics,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,672,https://basketball.icdb.tv/match/672,John Michael,Austin Carr,"Austin Carr, Brian Scalabrine",,,,"John Michael (Main Commentator), Austin Carr (Co-commentator), Mike Gorman (Main Commentator), Brian Scalabrine (Co-commentator)",,,
2021-12-18 18:00,1639879200,Cleveland Cavaliers @ Milwaukee Bucks,Milwaukee Bucks,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,650,https://basketball.icdb.tv/match/650,John Michael,Austin Carr,"Austin Carr, Marques Johnson",Steve Novak,Dario Melendez,Zora Stephenson,"John Michael (Main Commentator), Austin Carr (Co-commentator), Dario Melendez (Presenter), Lisa Byington (Main Commentator), Marques Johnson (Co-commentator), Steve Novak (Pundit), Zora Stephenson (Reporter)",,,
2021-12-15 16:00,1639612800,Houston Rockets @ Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,NBA Regular Season,Bally Sports Ohio,706,https://basketball.icdb.tv/match/706,Craig Ackerman,Ryan Hollins,"Ryan Hollins, Austin Carr",Calvin Murphy,Julia Morales,"Cayleigh Griffin, Andre Knott","Julia Morales (Presenter), Craig Ackerman (Main Commentator), Ryan Hollins (Co-commentator), Calvin Murphy (Pundit), Cayleigh Griffin (Reporter), John Michael (Main Commentator), Austin Carr (Co-commentator), Andre Knott (Reporter)",,,
2021-12-13 16:00,1639440000,Miami Heat @ Cleveland Cavaliers,Cleveland Cavaliers,Miami Heat,NBA Regular Season,Bally Sports Ohio,638,https://basketball.icdb.tv/match/638,John Michael,Austin Carr,"Austin Carr, John Crotty",Ruth Riley Hunter,Will Manso,Andre Knott,"John Michael (Main Commentator), Austin Carr (Co-commentator), Andre Knott (Reporter), Will Manso (Presenter), Eric Reid (Main Commentator), John Crotty (Co-commentator), Ruth Riley Hunter (Pundit)",,,
2021-12-11 17:00,1639270800,Sacramento Kings @ Cleveland Cavaliers,Cleveland Cavaliers,Sacramento Kings,NBA Regular Season,Bally Sports Ohio,606,https://basketball.icdb.tv/match/606,John Michael,Austin Carr,"Austin Carr, Kayte Christensen-Hunter",Kenny Thomas,Kyle Draper,Andre Knott,"John Michael (Main Commentator), Austin Carr (Co-commentator), Andre Knott (Reporter), Kyle Draper (Presenter), Mark Jones (Main Commentator), Kayte Christensen-Hunter (Co-commentator), Kenny Thomas (Pundit)",,,
2021-12-10 17:00,1639184400,Cleveland Cavaliers @ Minnesota Timberwolves,Minnesota Timberwolves,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,599,https://basketball.icdb.tv/match/599,Dave Benz,Jim Petersen,"Jim Petersen, Austin Carr",,,"Katie Storm, Andre Knott","Dave Benz (Main Commentator), Jim Petersen (Co-commentator), Katie Storm (Reporter), John Michael (Main Commentator), Austin Carr (Co-commentator), Andre Knott (Reporter)",,,
2021-12-08 16:00,1639008000,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,NBA Regular Season,Bally Sports Ohio,572,https://basketball.icdb.tv/match/572,John Michael,Austin Carr,"Austin Carr, Bill Wennington",,,Andre Knott,"John Michael (Main Commentator), Austin Carr (Co-commentator), Andre Knott (Reporter), Adam Amin (Main Commentator), Bill Wennington (Co-commentator)",,,
2021-12-06 17:00,1638838800,Cleveland Cavaliers @ Milwaukee Bucks,Milwaukee Bucks,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,502,https://basketball.icdb.tv/match/502,John Michael,Austin Carr,"Austin Carr, Marques Johnson",,,"Andre Knott, Zora Stephenson","John Michael (Main Commentator), Austin Carr (Co-commentator), Andre Knott (Reporter), Lisa Byington (Main Commentator), Marques Johnson (Co-commentator), Zora Stephenson (Reporter)",,,
2021-12-05 12:30,1638736200,Utah Jazz @ Cleveland Cavaliers,Cleveland Cavaliers,Utah Jazz,NBA Regular Season,Bally Sports Ohio,490,https://basketball.icdb.tv/match/490,Craig Bolerjack,Thurl Bailey,"Thurl Bailey, Holly Rowe, Austin Carr",,,Andre Knott,"Craig Bolerjack (Main Commentator), Thurl Bailey (Co-commentator), Holly Rowe (Co-commentator), John Michael (Main Commentator), Austin Carr (Co-commentator), Andre Knott (Reporter)",,,
2021-12-03 16:00,1638576000,Cleveland Cavaliers @ Washington Wizards,Washington Wizards,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,494,https://basketball.icdb.tv/match/494,John Michael,Austin Carr,"Austin Carr, Drew Gooden",Jason Smith,Wes Hall,"Andre Knott, Chris Miller","John Michael (Main Commentator), Austin Carr (Co-commentator), Andre Knott (Reporter), Wes Hall (Presenter), Justin Kutcher (Main Commentator), Drew Gooden (Co-commentator), Jason Smith (Pundit), Chris Miller (Reporter)",,,
